Company;Symbol;Valor Number;Country;Traded Currency;Trading platform;Index-member;Class of Share;Nominal Value;Listing Segment;Accounting Rules;Next General Meeting;Annual closing date;Auditors;Sustainability report opting in;International recognized standard;Primary listing
3M Company;MMM;1405105;US;CHF;XSWX;;RS;0.00;International Reporting Standard;;;;PricewaterhouseCoopers LLP - US;No;;false
ABB Ltd;ABBN;1222171;CH;CHF;XSWX;SMI,SPI,SLCI,SMIEXP,SLI;RS;0.12;International Reporting Standard;US GAAP;29.03.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Abbott Laboratories;ABT;903037;US;CHF;XSWX;;RS;0.00;International Reporting Standard;;;;Ernst & Young LLP - US;No;;false
Addex Therapeutics Ltd;ADXN;2985075;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;1.00;International Reporting Standard;IFRS;16.03.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Adecco Group AG;ADEN;1213860;CH;CHF;XSWX;SMI,SPI,SLCI,SMIEXP,SLI;RS;0.10;International Reporting Standard;US GAAP;19.04.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Adval Tech Holding AG;ADVN;896792;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;20.00;Swiss Reporting Standard;Swiss GAAP FER;17.05.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
AEVIS VICTORIA SA;AEVS;1248819;CH;CHF;XSWX;SPI,SSCI,SPIEX,SLIFE,SBIOM;RS;5.00;Swiss Reporting Standard;Swiss GAAP FER;24.05.18;31.12.;Berney & Associés SA, Société Fiduciaire - CH[501382];No;;true
Airesis SA;AIRE;1094762;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;0.25;International Reporting Standard;IFRS;12.06.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Airopack Technology Group AG;AIRN;24260694;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;5.00;Swiss Reporting Standard;Swiss GAAP FER;18.04.18;31.12.;BDO AG - CH[500705];No;;true
Allreal Holding AG;ALLN;883756;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;50.00;Real Estate Companies;IFRS;20.04.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Alpine Select AG;ALPN;1919955;CH;CHF;XSWX;;RS;0.02;Investment Companies;IFRS;16.05.18;31.12.;KPMG AG - CH[501403];No;;true
Alpiq Holding AG;ALPH;3438970;CH;CHF;XSWX;;RS;10.00;International Reporting Standard;IFRS;16.05.18;31.12.;Ernst & Young AG - CH[500646];No;;true
ALSO Holding AG;ALSN;2459027;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;1.00;International Reporting Standard;IFRS;27.03.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
ams AG;AMS;24924656;AT;CHF;XSWX;SPI,SMCI,SPIEX,SMIM,SMIEXP;BS;0.00;International Reporting Standard;IFRS;06.06.18;31.12.;KPMG Wirtschaftsprüfungs- und Steuerberatungs GmbH - AT;No;;true
Anglo American plc;AAM;3186826;GB;CHF;XSWX;;RS;0.55;International Reporting Standard;;;;Deloitte & Touche LLP - GB;No;;false
APG SGA SA;APGN;1910702;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;2.60;Swiss Reporting Standard;Swiss GAAP FER;24.05.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Arbonia AG;ARBN;11024060;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;4.20;International Reporting Standard;IFRS;20.04.18;31.12.;KPMG AG - CH[501403];No;;true
Arundel AG;ARON;227101;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;9.00;International Reporting Standard;IFRS;12.06.18;31.03.;PricewaterhouseCoopers AG - CH[500003];No;;true
ARYZTA AG;ARYN;4323836;CH;CHF;XSWX;SPI,SMCI,SPIEX,SMIM,SMIEXP,SLI;RS;0.02;International Reporting Standard;IFRS;04.12.18;31.07.;PricewaterhouseCoopers AG - CH[500003];No;;true
Ascom Holding AG;ASCN;1133920;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;0.50;Swiss Reporting Standard;Swiss GAAP FER;11.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Autoneum Holding AG;AUTN;12748036;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;0.05;International Reporting Standard;IFRS;28.03.18;31.12.;KPMG AG - CH[501403];Yes;Global Reporting Initiative (GRI);true
Bachem Holding AG;BANB;1253020;CH;CHF;XSWX;SPI,SSCI,SPIEX,SLIFE;RS;0.05;Swiss Reporting Standard;Swiss GAAP FER;25.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Bâloise Holding AG;BALN;1241051;CH;CHF;XSWX;SPI,SMCI,SPIEX,SMIM,SMIEXP,SLI;RS;0.10;International Reporting Standard;IFRS;27.04.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Bank Cler AG;BC;1811647;CH;CHF;XSWX;SPI,SSCI,SPIEX;BS;20.00;Swiss Reporting Standard;Bank law;06.04.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Bank Linth LLB AG;LINN;130775;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;20.00;Swiss Reporting Standard;Bank law;27.03.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Banque Cantonale de Genève;BCGE;35049471;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;50.00;Swiss Reporting Standard;Bank law;02.05.18;31.12.;Deloitte AG - CH[500420];No;;true
Banque Cantonale du Jura SA;BCJ;35066567;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;14.00;Swiss Reporting Standard;Bank law;26.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Banque Cantonale Vaudoise;BCVN;1525171;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;10.00;Swiss Reporting Standard;Bank law;26.04.18;31.12.;KPMG AG - CH[501403];No;;true
Banque Profil de Gestion S.A.;BPDG;249229;CH;CHF;XSWX;SPI,SSCI,SPIEX;BS;1.00;Swiss Reporting Standard;Bank law;24.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Barry Callebaut AG;BARN;900296;CH;CHF;XSWX;SPI,SMCI,SPIEX,SMIM,SMIEXP;RS;0.02;International Reporting Standard;IFRS;12.12.18;31.08.;KPMG AG - CH[501403];No;;true
Basellandschaftliche Kantonalbank;BLKB;147355;CH;CHF;XSWX;SPI,SSCI,SPIEX;PC;100.00;Swiss Reporting Standard;Bank law;09.04.18;31.12.;Ernst & Young AG - CH[500646];No;;true
BASF SE;BAS;11450563;DE;CHF;XSWX;;RS;0.00;International Reporting Standard;;;;KPMG Deutsche Treuhand-Gesellschaft AG - DE;No;;false
Basilea Pharmaceutica AG;BSLN;1143244;CH;CHF;XSWX;SPI,SMCI,SPIEX,SLIFE,SBIOM;RS;1.00;International Reporting Standard;US GAAP;18.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
